"y" "age" "education" "experience" "nonwife"
"1" 1 32 12 14 10.910059928894
"2" 1 30 12 5 19.4999809265137
"3" 1 35 12 15 12.0399103164673
"4" 1 34 12 6 6.79999589920044
"5" 1 31 14 7 20.1000576019287
"6" 1 54 12 33 9.85905361175537
"7" 1 37 16 11 9.15204811096191
"8" 1 54 12 35 10.9000377655029
"9" 1 48 12 24 17.3050003051758
"10" 1 39 12 21 12.9250001907349
"11" 1 33 12 15 24.2999534606934
"12" 1 42 11 14 19.7000713348389
"13" 1 30 12 0 15.0000076293945
"14" 1 43 12 14 14.6000003814697
"15" 1 43 10 6 24.6309146881104
"16" 1 35 11 9 17.53102684021
"17" 1 43 12 20 14.0999803543091
"18" 1 39 12 6 15.83899974823
"19" 1 45 12 23 14.1000003814697
"20" 1 35 12 9 10.2999610900879
"21" 1 42 16 5 22.6549816131592
"22" 1 30 12 11 8.09004783630371
"23" 1 48 13 18 17.4790000915527
"24" 1 45 12 15 9.5600004196167
"25" 1 31 12 4 8.27495288848877
"26" 1 43 17 21 27.3499851226807
"27" 1 59 12 31 16
"28" 1 32 12 9 16.9999828338623
"29" 1 31 17 7 15.1000556945801
"30" 1 42 12 7 15.6999835968018
"31" 1 50 11 32 5.11895990371704
"32" 1 59 16 11 16.7500114440918
"33" 1 36 13 16 13.5999317169189
"34" 1 51 12 14 17.1000480651855
"35" 1 45 16 27 16.7340488433838
"36" 1 42 11 0 14.1969776153564
"37" 1 46 12 17 10.3199872970581
"38" 1 46 10 28 11.3841047286987
"39" 1 51 14 24 14.5940780639648
"40" 1 30 17 11 17.5004386901855
"41" 1 30 12 1 15.5099964141846
"42" 1 57 12 14 21.9999752044678
"43" 1 31 16 6 22.5
"44" 1 48 12 10 19.9939994812012
"45" 1 30 12 6 14.1300001144409
"46" 1 34 12 4 5.00001287460327
"47" 1 48 16 10 21.1548976898193
"48" 1 45 12 22 7.14194583892822
"49" 1 51 12 16 16.6500720977783
"50" 1 30 12 6 6.35199975967407
"51" 1 46 12 12 27.3139476776123
"52" 1 58 12 32 14.5000038146973
"53" 1 37 12 15 16.2579898834229
"54" 1 52 8 17 9.5
"55" 1 52 10 34 7.99995613098145
"56" 1 31 16 9 12.5000286102295
"57" 1 55 14 37 14.0000324249268
"58" 1 34 17 10 20.8000736236572
"59" 1 55 14 35 19.3851127624512
"60" 1 39 12 6 12.3869915008545
"61" 1 40 14 19 28.5
"62" 1 43 12 10 15.0499086380005
"63" 1 48 8 11 10.4999837875366
"64" 1 47 12 15 11.8100004196167
"65" 1 41 12 12 6.9500732421875
"66" 1 36 8 12 12.4199714660645
"67" 1 46 17 14 17.4000034332275
"68" 1 34 12 11 15.4999961853027
"69" 1 41 12 9 21.2170429229736
"70" 1 51 12 24 18
"71" 1 33 12 12 11.8999185562134
"72" 1 52 12 13 26.7519550323486
"73" 1 58 9 29 12.1499614715576
"74" 1 34 10 11 10.199990272522
"75" 1 31 12 13 8.12001514434814
"76" 1 48 12 19 10.6599645614624
"77" 1 32 12 2 18.1000099182129
"78" 1 49 17 24 8.59998607635498
"79" 1 32 15 9 13.664999961853
"80" 1 58 12 6 32.3499603271484
"81" 1 50 6 22 12.0850057601929
"82" 1 60 14 30 12.1499996185303
"83" 1 50 12 10 17.6950206756592
"84" 1 56 14 6 24.7000007629395
"85" 1 51 9 29 2.13399195671082
"86" 1 54 17 29 20.9500484466553
"87" 1 59 13 36 10.5000801086426
"88" 1 46 9 19 10.5500001907349
"89" 1 46 15 8 45.75
"90" 1 39 12 13 13.6320400238037
"91" 1 44 12 16 18.2389392852783
"92" 1 33 12 11 17.0899963378906
"93" 1 33 12 15 30.234899520874
"94" 1 48 12 6 28.7000007629395
"95" 1 31 12 13 19.6299953460693
"96" 1 45 12 22 12.8249425888062
"97" 1 45 12 24 23.7999992370605
"98" 1 32 13 2 26.3000259399414
"99" 1 47 12 6 20.6999073028564
"100" 1 34 13 2 26.0000038146973
"101" 1 37 12 2 10.8770208358765
"102" 1 36 12 14 25.6120624542236
"103" 1 47 12 9 20.9889945983887
"104" 1 48 16 11 70.7499313354492
"105" 1 42 12 9 17.0499992370605
"106" 1 33 13 6 20.9999961853027
"107" 1 46 11 19 8.11999988555908
"108" 1 47 12 26 20.8859901428223
"109" 1 44 12 19 17.6689186096191
"110" 1 36 12 3 25.2000293731689
"111" 1 31 17 7 14.245005607605
"112" 1 55 14 28 14.3000001907349
"113" 1 45 16 13 23.7000102996826
"114" 1 47 17 9 45.9999961853027
"115" 1 46 12 15 42.9999046325684
"116" 1 49 11 20 14.7489995956421
"117" 1 49 12 29 16.1500549316406
"118" 1 45 12 9 17.7740001678467
"119" 1 38 17 1 91
"120" 1 47 10 8 22.299934387207
"121" 1 54 13 19 34.6000137329102
"122" 1 41 11 23 9.62000179290771
"123" 1 43 12 3 10.8999462127686
"124" 1 31 16 13 14.4999437332153
"125" 1 47 17 8 22.0000152587891
"126" 1 35 12 17 17.9000797271729
"127" 1 45 16 4 23.6750621795654
"128" 1 33 12 15 11.7999601364136
"129" 1 54 16 11 16.1419544219971
"130" 1 35 8 7 18.3999710083008
"131" 1 31 12 0 15.4999475479126
"132" 1 55 12 0 17.3239994049072
"133" 1 34 12 10 19.2050037384033
"134" 1 38 13 8 21.3000621795654
"135" 1 45 11 2 23.5599956512451
"136" 1 47 12 4 20.8500003814697
"137" 1 39 12 6 26.1499996185303
"138" 1 36 14 18 17
"139" 1 33 12 3 20.7200031280518
"140" 1 50 12 22 17.0000896453857
"141" 1 58 12 33 15.9999980926514
"142" 1 49 17 28 19.5000495910645
"143" 1 41 14 23 12.0000038146973
"144" 1 51 12 27 13.7319116592407
"145" 1 53 9 11 27.1999912261963
"146" 1 36 12 6 5.31500005722046
"147" 1 46 12 11 16
"148" 1 36 12 14 27.8719825744629
"149" 1 53 14 17 40.0000114440918
"150" 1 40 16 17 15.9000339508057
"151" 1 42 17 14 27.4999694824219
"152" 1 33 15 11 17.0200500488281
"153" 1 43 12 7 22.3949394226074
"154" 1 31 16 8 11.1000003814697
"155" 1 47 17 6 32.7000122070312
"156" 1 54 17 8 27.7999610900879
"157" 1 33 12 4 2.19999408721924
"158" 1 43 16 25 19.7209510803223
"159" 1 46 13 24 9.99998760223389
"160" 1 35 12 11 13.1999683380127
"161" 1 37 11 19 12.7089748382568
"162" 1 37 16 9 27.3000469207764
